,x,y,z,qx,qy,qz,qw,time,name,id
38,1.8833973785691644,2.0289318347943306,0.4614140469146262,0.0,0.0,-0.7157437795057366,0.6983629730296728,1584271076.2031739,object_1,38
39,1.8563244450250784,2.1357533607199564,0.44816551411867445,0.0,0.0,-0.700603652988756,0.7135506439061006,1584271076.3043401,object_1,39
40,1.8565518047947427,2.1369274604275432,0.4460920667950933,0.0,0.0,-0.7008148167931106,0.7133432501700978,1584271076.40437,object_1,40
41,1.863006355158447,2.1371812306900746,0.4469978657150917,0.0,0.0,-0.7040805192013699,0.710120146511229,1584271076.5382001,object_1,41
42,1.8783690598150429,2.1843827851676907,0.47101510273680525,0.0,0.0,-0.7135002015699355,0.700655023788213,1584271077.5437145,object_2,42
43,1.8702671944599332,2.1657417813023114,0.43232735431326974,0.0,0.0,-0.7077906374645759,0.7064222628976873,1584271076.8063345,object_1,43
44,1.8915004905592976,2.0418514332264732,0.5091806160626462,0.0,0.0,-0.7225734980425035,0.6912941052306321,1584271077.6107466,object_2,44
45,1.864641277183703,1.968827882323573,0.5742850721250219,0.0,0.0,-0.7111294499989091,0.7030610964519719,1584271077.845676,object_1,45
46,1.8397191645343804,1.9498243839092528,0.5941403226057045,0.0,0.0,-0.6962484217838637,0.7178009021751638,1584271077.8791919,object_1,46
47,1.8557886589733255,1.9614562877024249,0.570706060247982,0.0,0.0,-0.7068524117957099,0.7073610591053117,1584271077.9463904,object_2,47
48,1.8166154321450383,1.925527211052657,0.6289295018814857,0.0,0.0,-0.6857017004499909,0.727882667742536,1584271078.2147865,object_1,48
49,1.8391757928609864,1.8742265519573964,0.6050991220486389,0.0,0.0,-0.6987934767078607,0.715323477114054,1584271078.2483182,object_2,49
50,1.835992857492529,1.8719493661350965,0.6276940803048505,0.0,0.0,-0.6977176446904291,0.7163728695921142,1584271078.3153734,object_2,50
51,1.8329205954644476,1.802044755195956,0.6272747294528187,0.0,0.0,-0.6964054706118938,0.7176485354975837,1584271078.51586,object_2,51
52,1.8631708438585382,1.7905457835267649,0.630813145958818,0.0,0.0,-0.7177278866191084,0.696323689651062,1584271078.5492253,object_1,52
53,1.856618264998806,1.7626845056658174,0.6348067588330709,0.0,0.0,-0.714721076533494,0.6994095958440972,1584271078.6497734,object_1,53
54,1.842822305838288,1.7577408203143596,0.6626580179397421,0.0,0.0,-0.706582542978803,0.7076306310198902,1584271078.8843837,object_1,54
55,1.8365164466657968,1.6965265512803878,0.6464200571693137,0.0,0.0,-0.7023878987049207,0.7117943802481769,1584271078.9178996,object_1,55
56,1.8375289771168328,1.6525064657658277,0.7655551365419231,0.0,0.0,-0.7034246752629632,0.7107698124084864,1584271079.0184476,object_1,56
57,1.8327623709389729,1.994372951416974,0.45403878497466543,0.0,0.0,-0.6836610408022588,0.7297996857283321,1584270981.4236302,object_2,57
58,1.828362170578505,1.9928696816565727,0.45333071692732074,0.0,0.0,-0.6815824853395586,0.7317412901281097,1584270981.89267,object_2,58
59,1.8275130240711213,1.988533536412601,0.457776049651065,0.0,0.0,-0.6809267783647079,0.7323515020165249,1584270982.4958453,object_2,59
60,1.8298710095676716,1.9938817356521181,0.45681336923059057,0.0,0.0,-0.6823735110987401,0.7310036876451291,1584270982.8645687,object_2,60
61,1.8284066770079799,1.994339660473095,0.45710924214159343,0.0,0.0,-0.6820961213772416,0.7312625255010154,1584270983.1996021,object_2,61
62,1.829672753711659,1.994668994575043,0.4552512225726033,0.0,0.0,-0.6826986861332811,0.7307000095469356,1584270983.702444,object_2,62
